leader_seed,derivative_smiles,MW,logP,HBD,HBA,TPSA,rotb,QED,skin_window,lipinski_viol,energy_au,HOMO_eV,LUMO_eV,gap_eV
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.4,1.97,4,6,99.4,2,0.665,True,,-75.317406,-9.802,-5.816,3.986
R12_11,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,416.5,4.79,3,5,79.2,3,0.572,False,,-88.254664,-10.05,-6.51,3.54
R12_11,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,298.3,3.37,2,4,58.9,3,0.912,True,,-63.978688,-9.903,-6.563,3.341
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,298.3,3.37,2,4,58.9,3,0.912,True,,-63.972094,-9.842,-6.371,3.471
R12_11,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,416.5,4.79,3,5,79.2,3,0.572,False,,-88.258334,-9.839,-6.391,3.449
R12_11,COc1ccc(O)c(-c2ccc(O)c(-c3cc(OC)ccc3O)c2)c1,338.4,4.15,3,5,79.2,4,0.666,False,,-72.329481,-9.723,-6.576,3.146
R12_11,COc1ccc(O)c(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)c1,364.4,4.2,3,5,79.2,3,0.649,False,,-77.64893,-9.753,-6.432,3.322
R12_11,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.3,2.78,2,4,58.9,3,0.874,True,,-53.372649,-9.808,-6.378,3.429
R12_11,COc1ccc(O)c(-c2ccc(O)c(-c3ccc(O)c(OC)c3)c2)c1,338.4,4.15,3,5,79.2,4,0.666,False,,-72.333008,-9.876,-6.594,3.282
R12_11,COc1cc(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)ccc1O,364.4,4.2,3,5,79.2,3,0.649,False,,-77.655763,-9.788,-6.435,3.353
R12_11,COc1cc(-c2ccc(O)c(-c3ccc(O)c(OC)c3)c2)ccc1O,338.4,4.15,3,5,79.2,4,0.666,False,,-72.332752,-9.854,-6.404,3.45
R12_11,Oc1ccc2c(c1)OCC(c1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,390.4,4.24,3,5,79.2,2,0.61,False,,-82.97809,-10.094,-6.36,3.733
R12_11,COc1cc(C2COc3cc(O)ccc3C2)ccc1O,272.3,2.83,2,4,58.9,2,0.882,True,,-58.699793,-10.061,-6.16,3.901
R12_11,COc1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,364.4,4.2,3,5,79.2,3,0.649,False,,-77.6553,-9.886,-6.65,3.236
R12_11,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.3,2.78,2,4,58.9,3,0.874,True,,-53.373576,-10.071,-6.669,3.402
R12_11,COc1ccc(O)c(-c2cc(-c3ccc(O)c(OC)c3)ccc2O)c1,338.4,4.15,3,5,79.2,4,0.666,False,,-72.334089,-10.032,-6.711,3.321
R12_11,COc1cc(-c2ccc(O)c(OC)c2)ccc1O,246.3,2.78,2,4,58.9,3,0.874,True,,-53.376311,-9.852,-6.309,3.543
R12_11,COc1cc(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,364.4,4.2,3,5,79.2,3,0.649,False,,-77.660981,-9.83,-6.361,3.469
R12_11,COc1ccc(O)c(C2COc3cc(O)ccc3C2)c1,272.3,2.83,2,4,58.9,2,0.882,True,,-58.69871,-9.9,-6.209,3.69
R12_23,COC1Cc2c(O)cc(O)cc2OC1OC,226.2,1.02,2,5,68.2,2,0.788,False,,-51.032658,-10.329,-5.972,4.357
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.4,2.37,3,6,88.4,2,0.775,True,,-75.317908,-9.926,-5.914,4.012
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1OC,390.4,2.05,4,8,117.8,3,0.629,True,,-86.62352,-10.109,-5.962,4.147
R12_23,COC(=O)C1Oc2cc(O)cc(O)c2CC1C1Oc2cc(O)cc(O)c2CC1OC,418.4,1.62,4,9,134.9,3,0.548,True,,-92.831538,-10.108,-6.885,3.223
R12_23,COC(=O)C1COc2cc(O)ccc2C1,208.2,1.12,1,4,55.8,1,0.702,False,,-45.960816,-10.161,-6.9,3.261
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,372.4,2.15,3,7,105.5,2,0.694,True,,-81.544754,-10.105,-7.104,3.001
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1OC,418.4,1.83,4,9,134.9,3,0.551,True,,-92.845672,-10.232,-6.874,3.358
R12_4,OCC1COc2cc(O)ccc2C1,180.2,0.94,2,3,49.7,1,0.676,False,0.0,-39.736531,-10.159,-6.128,4.031
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1CO,390.4,1.03,6,8,139.8,3,0.457,False,1.0,-86.619801,-10.147,-5.958,4.189
R12_11,COC1COc2cc(O)ccc2C1,180.2,1.34,1,3,38.7,1,0.708,False,0.0,-39.731443,-10.015,-5.986,4.028
R12_11,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,324.4,3.46,2,4,58.9,2,0.831,True,0.0,-69.296803,-10.0,-6.007,3.993
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1OC,254.2,0.79,2,6,85.2,2,0.759,False,0.0,-57.254337,-10.388,-6.724,3.665
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,536.5,3.18,5,10,155.1,3,0.315,False,1.0,-117.123419,-10.098,-7.203,2.895
R12_23,COC(=O)C1Oc2cc(O)cc(O)c2CC1OC,254.2,0.59,2,6,85.2,2,0.751,False,0.0,-57.240808,-10.321,-7.24,3.081
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,508.5,3.4,5,9,138.1,3,0.36,False,1.0,-110.88941,-9.916,-5.998,3.918
R13_13,CC(C)=CC1COc2cc(O)ccc2C1,204.3,2.91,1,2,29.5,1,0.713,True,0.0,-44.124041,-9.911,-5.922,3.99
R13_13,Oc1ccc2c(c1)OCC(C=CCC1COc3cc(O)ccc3C1)C2,338.4,3.85,2,4,58.9,3,0.835,False,0.0,-72.463967,-10.01,-5.988,4.022
R13_13,CC(C)=CCC1COc2cc(O)ccc2C1,218.3,3.3,1,2,29.5,2,0.772,True,0.0,-47.290279,-9.99,-5.941,4.049
R13_13,Oc1ccc2c(c1)OCC(CC=CCC1COc3cc(O)ccc3C1)C2,352.4,4.24,2,4,58.9,4,0.808,False,0.0,-75.630393,-9.938,-6.091,3.847
