herb_korean,n_compounds,compounds,mean_affinity
대두,2,"Genistein, Daidzein",0.582
자초,2,"Acetylshikonin, Shikonin",0.567
황금,3,"Baicalein, Wogonin, Baicalin",0.502
단삼,2,"Tanshinone IIA, Cryptotanshinone",0.482
호장근,2,"Emodin, Polydatin",0.466
사과,2,"Phloretin, Phloridzin",0.457
황기,2,"Calycosin, Formononetin",0.445
감초,3,"Licochalcone A, Glabridin, Liquiritin",0.426
상백피,2,"Oxyresveratrol, Mulberroside A",0.421
올리브,2,"Hydroxytyrosol, Tyrosol",0.403
백지,2,"Byakangelicin, Imperatorin",0.396
로즈마리,2,"Carnosol, Carnosic acid",0.385
오갈피,2,"Oleanolic acid, Ursolic acid",0.299
컴프리,2,"Allantoin from Symphytum, Allantoin",0.261
병풀,3,"Asiaticoside, Madecassic acid, Asiatic acid",0.228
