gene,ensg,n_drugs,n_diseases,top_disease,top_score,top_drug
MMP1,ENSG00000196611,0,0,,,
MMP3,ENSG00000149968,0,0,,,
MMP9,ENSG00000100985,0,0,,,
TGFB1,ENSG00000105329,0,0,,,
CTGF,ENSG00000118523,0,0,,,
COL1A1,ENSG00000108821,0,0,,,
COL3A1,ENSG00000168542,0,0,,,
ACTA2,ENSG00000107796,0,0,,,
FAP,ENSG00000078098,0,0,,,
POSTN,ENSG00000133110,0,0,,,
LOX,ENSG00000113083,0,0,,,
PDGFRB,ENSG00000113721,0,0,,,
SIRT1,ENSG00000096717,0,0,,,
TYR,ENSG00000077498,0,0,,,
MITF,ENSG00000187098,0,0,,,
SRD5A2,ENSG00000277893,0,0,,,
AR,ENSG00000169083,0,0,,,
