target_gene,f6_score,f6_to_f3_ratio,is_f6_enriched,skin_lung_conserved,scar_priority
ACTA2,6.71,6.71,True,True,10.065
COL1A1,6.12,6.12,True,True,9.18
CTGF,5.83,5.83,True,True,8.745000000000001
POSTN,5.13,5.13,True,True,7.695
FAP,4.92,4.92,True,True,7.38
TGFB1,4.21,4.21,True,True,6.3149999999999995
LOX,4.06,4.06,True,True,6.09
COL3A1,5.45,5.45,True,False,5.45
MMP1,3.52,3.52,True,True,5.28
PDGFRB,3.38,3.38,True,False,3.38
MMP9,1.0,1.0,False,True,1.5
MMP3,1.0,1.0,False,True,1.5
PARN,1.0,1.0,False,False,1.0
RTEL1,1.0,1.0,False,False,1.0
TERT,1.0,1.0,False,False,1.0
SFTPA2,1.0,1.0,False,False,1.0
MUC5B,1.0,1.0,False,False,1.0
